ra,dec,vmag,colour
200.658249,-60.98835608,4.52,FFFFFFFF
191.4079843,-60.98116057,4.69,FFFFFFFF
181.2385254,-60.96823848,5.95,FFFFFFFF
135.1906126,-60.96384715,5.80,FFFFFFFF
229.2370763,-60.95724479,5.04,FFFFFFFF
229.1528937,-60.9039866,5.74,FFFFFFFF
219.9141283,-60.83947139,1.35,FFFFFFFF
219.9204103,-60.83514707,-0.01,FFFFFFFF
119.7106539,-60.82448838,5.77,FFFFFFFF
25.44980076,-60.78924102,5.70,FFFFFFFF
262.774904,-60.68360667,3.60,FFFFFFFF
261.0783171,-60.6737692,5.76,FFFFFFFF
230.7941726,-60.65710865,5.65,FFFFFFFF
133.7619236,-60.64471195,3.84,FFFFFFFF
119.9064429,-60.58708857,5.19,FFFFFFFF
308.8948674,-60.58129819,4.75,FFFFFFFF
119.0777258,-60.52646168,5.74,FFFFFFFF
160.8846154,-60.56662705,4.58,FFFFFFFF
310.0094435,-60.54750937,5.11,FFFFFFFF
163.8219292,-60.51720824,5.93,FFFFFFFF
229.7047785,-60.49632329,5.43,FFFFFFFF
239.0248221,-60.48230498,5.76,FFFFFFFF
150.5004375,-60.42089968,5.93,FFFFFFFF
185.3408804,-60.40136988,3.59,FFFFFFFF
193.4538478,-60.37624027,5.89,FFFFFFFF
210.956019,-60.3729784,0.61,FFFFFFFF
133.4527872,-60.35393124,5.78,FFFFFFFF
192.8249238,-60.32978611,5.71,FFFFFFFF
193.3412491,-60.32848627,5.75,FFFFFFFF
168.1500845,-60.3176307,4.59,FFFFFFFF
36.22497693,-60.31162902,5.36,FFFFFFFF
119.4429358,-60.30336068,5.59,FFFFFFFF
117.3039419,-60.28402896,5.78,FFFFFFFF
96.05783068,-60.28139797,5.78,FFFFFFFF
10.67349903,-60.26268184,5.99,FFFFFFFF
334.6257426,-60.25949486,2.87,FFFFFFFF
284.6524779,-60.20062859,5.14,FFFFFFFF
238.885088,-60.17747419,5.78,FFFFFFFF
267.897799,-60.16401809,5.78,FFFFFFFF
223.8946152,-60.11389133,5.18,FFFFFFFF
