object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour
26764,Star,Unknown,-25.24313123,84.85089544,,,,26610,,,,,,Lep,7.78,0.543,,
26765,Star,Unknown,30.89076819,84.85333952,,,,26611,,,,,,Aur,7.63,0.057,,
26766,Star,Unknown,-11.21022245,84.85455067,,,,26612,,,,,,Lep,7.99,-0.075,,
26767,Star,Unknown,42.68080575,84.85803806,,,,26613,,,,,,Aur,7.26,1.472,,
26768,Star,Unknown,-22.83867481,84.85932678,,,,26614,,,,,,Lep,10.25,1.111,,
26769,Star,Unknown,3.41644375,84.86227637,,,,26615,,,,,,Ori,9.13,0.473,,
26770,Star,Unknown,21.76292896,84.86295046,,,,26616,,,,,,Tau,6.42,0.066,,
26771,Star,Unknown,3.95074178,84.86431472,,,,26617,,,,,,Ori,10.35,0.64,,
26772,Star,Unknown,11.50294578,84.8647151,,,,26618,,,,,,Ori,7.92,1.558,,
26773,Star,Unknown,29.83347349,84.87413953,,,,26619,,,,,,Aur,8.54,1.317,,
26774,Star,Unknown,-36.56637312,84.87508968,,,,26620,,,,,,Col,9.1,1.17,,
26775,Star,Unknown,-40.68404136,84.87696161,,,,26621,,,,,,Col,8.05,0.389,,
26776,Star,Unknown,51.33540175,84.87702045,,,,26622,,,,,,Aur,8.5,0.123,,
26777,Star,Unknown,-9.70662843,84.87850386,,,,26623,,,,,,Ori,6.49,-0.107,,
26778,Star,Unknown,-3.56470434,84.87979574,,,,26624,,,,,,Ori,5.99,0.294,,
26779,Star,Unknown,12.00387581,84.88564088,,,,26625,,,,,,Ori,7.78,0.399,,
26780,Star,Unknown,-25.14819723,84.89273834,,,,26626,,,,,,Lep,8.11,0.017,,
26781,Star,Unknown,9.84847087,84.8939445,,,,26627,,,,,,Ori,7.24,1.228,,
26782,Star,Unknown,-15.86810025,84.8941446,,,,26628,,,,,,Lep,7.42,1.228,,
26783,Star,Unknown,-67.04172107,84.89845176,,,,26629,,,,,,Dor,8.37,0.48,,
26784,Star,Unknown,-32.98050075,84.89982872,,,,26630,,,,,,Col,8.85,1.119,,
26785,Star,Unknown,6.88248385,84.90052228,,,,26631,,,,,,Ori,8.43,0.306,,
26786,Star,Unknown,37.98888689,84.90333731,,,,26632,,,,,,Aur,6.96,0.015,,
26787,Star,Unknown,0.83384869,84.90829045,,,,26633,,,,,,Ori,6.91,1.205,,
26788,Star,Unknown,-34.07410786,84.91224946,Phact,alf Col,,26634,,,,,,Col,2.65,-0.12,,
26789,Star,Unknown,-41.84608237,84.91922826,,,,26635,,,,,,Col,9.53,0.639,,
26790,Star,Unknown,-34.63592311,84.92492647,,,,26636,,,,,,Col,8.71,1.111,,
26791,Star,Unknown,0.90757964,84.93020759,,,,26637,,,,,,Ori,8.35,-0.065,,
26792,Star,Unknown,75.04387153,84.9321036,,,,26638,,,,,,Cam,6.19,1.606,,
26793,Star,Unknown,7.31584674,84.93408246,,,,26639,,,,,,Ori,9.5,0.175,,
26794,Star,Unknown,25.89709109,84.93416238,,,125 Tau,26640,,,,,,Tau,5.18,-0.15,,
