object_id,hip_id,ra,dec,vmag,bv,name,bayer,flamsteed,constellations
0,433,1.31187914,3.00740499,9.48,1.037,,,,
0,434,1.31384483,-27.27170808,9.04,0.692,,,,
0,435,1.31375008,-49.14214154,9.3,0.538,,,,
0,436,1.32369852,-67.83258968,8.49,1.076,,,,
0,437,1.32449032,48.47717146,8.3,0.998,,,,
0,438,1.32699769,-1.7940851,7.95,0.991,,,,
0,440,1.33301907,68.88443321,7.08,-0.006,,,,
0,441,1.33319591,-38.85715225,6.93,0.94,,,,
0,442,1.33341198,-21.31533823,8.38,-0.06,,,,
0,443,1.33392048,-5.7076182,4.61,1.029,,,33 Psc,
0,703,2.19246888,-86.18848929,11.01,1.5,,,,
0,439,1.35178359,-37.35736234,8.56,1.462,,,,
0,444,1.33681659,-59.81450412,8.78,1.156,,,,
0,445,1.34027218,-56.95564886,7.42,0.191,,,,
0,447,1.34253938,8.78780952,8.26,1.052,,,,
0,446,1.34260797,-79.25375159,7.71,1.093,,,,
0,448,1.34266278,3.60609178,6.91,1.12,,,,
0,449,1.3448236,-33.49936259,9.16,0.782,,,,
0,450,1.34993751,28.54372387,8.99,1.199,,,,
0,451,1.35124835,16.32900639,8.63,0.46,,,,
0,452,1.35575742,21.56940021,9.9,0.599,,,,
0,453,1.35610519,-3.85167334,7.59,1.045,,,,
0,454,1.36007906,-14.42219178,7.39,0.99,,,,
0,455,1.36464041,76.29156732,11.99,,,,,
0,456,1.36557606,-37.30253632,7.78,1.123,,,,
0,457,1.36674589,-42.88738735,7.47,1.62,,,,
0,458,1.36767632,-7.66542028,6.97,1.444,,,,
0,459,1.36854894,-61.22585337,8.82,0.666,,,,
0,460,1.37020961,22.22449206,9.13,0.735,,,,
0,461,1.37102488,34.1057203,7.86,0.494,,,,
0,462,1.37984692,-9.61747028,7.13,0.446,,,,
0,463,1.38324786,-35.12973833,9.45,0.995,,,,
0,464,1.38381825,-31.96783723,12.04,0.501,,,,
0,465,1.39103433,76.28581784,8.78,1.249,,,,
0,466,1.39554234,53.17169369,7.23,1.174,,,,
0,467,1.39670834,-47.56935146,9.73,0.725,,,,
0,468,1.39898659,-61.30987265,7.36,0.993,,,,
0,469,1.4010779,-51.26049133,7.36,1.444,,,,
0,470,1.40401191,43.40142075,8.47,-0.18,,,,
0,471,1.41189789,-58.28954015,9.37,1.537,,,,
0,472,1.41553563,55.70989788,6.99,1.187,,,,
0,473,1.42088697,45.81208093,8.2,1.41,,,,
0,474,1.42019408,44.46867587,8.36,0.247,,,,
0,475,1.42363798,58.31325948,8.22,0.636,,,,
0,476,1.42483879,13.39626645,5.55,0.901,,,86 Peg,
0,477,1.42899895,-29.96063479,9.91,0.353,,,,
0,478,1.42937257,-22.50977598,9.67,0.524,,,,
0,480,1.4301431,-15.36548338,8.6,1.1,,,,
0,479,1.43019054,25.61517037,10.07,0.923,,,,
0,481,1.43356092,-36.77863901,10.15,0.677,,,,
0,482,1.43519064,17.84029044,7.75,0.414,,,,
